id,band,title,year
25422,35944,Incantations Through the Gates of Irkalla,2015
25423,35945,4:48,2007
25424,35945,Men allting har ett slut,2010
25425,35946,RobaMataLiberaReduceRepite,2010
25426,35946,It Started Here,2013
25427,35949,No World Order,2015
25428,35950,When in Hell,2009
25429,35950,Golden Eagle,2012
25430,35950,Tomb of Broken Sleep,2015
25431,35951,aMbryO,2005
25432,35951,Dead End Street,2007
25433,35951,A Clockwork Called Retribution,2010
25434,35953,Necrospiritual Deathcore,2006
25435,35954,Reflections of a Dying World,2013
25436,35964,The Archivists' Tragedy,2016
25437,35966,State of the Union,2003
25438,35966,In Defense of the Planet,2013
25439,35967,Memories,1994
25440,35967,Artemis,1995
25441,35967,Eon,1997
25442,35967,Trial,2000
25443,35968,Mea Culpa,2012
25444,35968,Una vida en el infierno,2015
25445,35971,Mutatis Mutandis,2011
25446,35973,Freedom| Hope & Fury (The Second Spawn),1998
25447,35975,Arbrynth,2011
25448,35976,Arch Goat of Sodomy,2009
25449,35978,The Monotonous Moment of a Monologue,2002
25450,35978,Monumental Monolith,2010
25451,35979,The Future That Amnesiac Draws,2011
25452,35980,Torches Ablaze,2012
25453,35982,Silêncio Fúnebre,1986
25454,35982,Das Cinzas ao Inferno,2001
25455,35982,Princípio da Agonia - 1984,2003
25456,35982,Apogeu da Insanidade| Crepúsculo da Humanidade,2005
25457,35982,Sem Esperanças,2008
25458,35982,10 Mil Anos de Terror,2013
25459,35983,Armd.,2008
25460,35986,Ratocracy,2014
25461,35986,Revolt,2015
25462,35987,Apathy,2005
25463,35988,First Step Out of Ashes,2001
25464,35988,Leuchte auf,2010
25465,35989,The Healing,2008
25466,35989,Riotology,2011
25467,35990,Arthurian Shield,2012
25468,35990,Age ov Avalon,2013
25469,35991,Asbestos - Self Titled,1997
25470,35991,The Death of Reason,2002
25471,35992,Ash & Elm,2003
25472,35992,The Death of Compassion,2004
25473,35996,Fire and Destruction,2003
25474,35999,Piece of Time,1990
25475,35999,Unquestionable Presence,1991
25476,35999,Elements,1993
25477,35999,Jupiter,2010
25478,36000,Cinematic Masquerade,2007
25479,36003,Kyrie,1992
25480,36004,System Sickness,2015
25481,36007,Voice of Dog,2016
25482,36008,In Carna,2001
25483,36008,Glyba,2004
25484,36009,Secrets & Lies,2001
25485,36010,Fear in a Handful of Dust,2011
25486,36010,Osculum Infame,2014
25487,36011,The Book,2008
25488,36011,The Second Coming of Supper,2014
25489,36012,Lay Down Thy Burdens,2010
25490,36012,Tir na nOg,2013
25491,36013,Terminate Damnation,2005
25492,36013,The Physics of Fire,2007
25493,36013,Dichotomy,2008
25494,36013,Celestial Completion,2011
25495,36013,I Am,2012
25496,36014,Talented Race,2005
25497,36015,Aisling Ḋorċa,2008
25498,36015,Dúchas,2011
25499,36015,Conquest,2015
25500,36015,Ghosts of a World Long Forgotten,2016
25501,36018,Lurker,2012
25502,36020,Drag Us into Hell,2015
25503,36022,Konský kokot,2015
25504,36023,Pity Love,1995
25505,36023,Revelry,1998
25506,36023,Electric Sulking Machine,1999
25507,36023,In Reverie,1999
25508,36023,Frysh,2003
25509,36023,We're Down with Species of Any Kind,2005
25510,36026,Watchers,2013
25511,36028,Barbed Wire Prince,2005
25512,36031,Heavy Breathing,2010
25513,36031,Sentenced to Life,2012
25514,36031,Slaves Beyond Death,2015
25515,36033,Winter Forest,2015
25516,36033,This Life,2016
25517,36034,To Punish and Enslave,2013
25518,36035,Our Pain Is Your Pleasure,1997
25519,36035,Soulless & Proud,2001
25520,36035,Lifeblood,2006
25521,36035,Soul Confusion,2012
25522,36036,Desensitize,2009
25523,36038,Bleed the People,2008
25524,36040,Lifeless,2004
25525,36041,Mordaza,2003
25526,36043,Existence Expires,2011
25527,36043,Skeletons,2014
25528,36046,Bloodline,2006
25529,36047,Spawn of Discordancy,2007
25530,36048,Warrior Beast Supreme,2001
25531,36050,Bath in HCL,2002
25532,36050,Temptation,2003
25533,36050,Nuts,2004
25534,36050,Flowers of Evil,2006
25535,36050,Electrics,2008
25536,36050,Nuclear Winter,2010
25537,36055,Liberalia,2011
25538,36057,Hot the Brown...Hot!,2005
25539,36059,Rage Uncontrolled,2003
25540,36061,Carnage Torture,2005
25541,36061,Seven Deadly Tracks,2009
25542,36062,All Roads Lead to Rome,2010
25543,36064,Breathe Fire to the Sun,2011
25544,36064,Slayer of Gods,2016
25545,36065,Órfãos da Nação,1989
25546,36065,Extreme Convictions,1992
25547,36067,Songs Written Before Jumping Out of an Eight Storey Window,2009
25548,36067,Upbeat Noise for Downtrodden People,2011
25549,36068,Courage and Fear,2006
25550,36070,Mind Control,2008
25551,36070,Offspring of Time,2010
25552,36072,In Melancholy,1993
25553,36072,"""For Love"" I Said",1995
25554,36072,The Lesser Travelled Seas,2001
25555,36072,What the Waves Were Always Saying,2003
25556,36072,To the Night Sky,2006
25557,36072,Destroying the Night Sky,2008
25558,36072,Burn Brightly Alone,2011
25559,36074,Norodom Sihamoni,2006
25560,36079,From the Cavern Come,2008
25561,36081,Deformation,2013
25562,36090,Cellar People,2005
25563,36094,Tides of War,2013
25564,36094,Ages Unsung,2016
25565,36095,Chemical Cancer,2011
25566,36096,Grind-Flower,2003
25567,36097,Slum Radio,2003
25568,36097,Manifest from Sudamerica,2008
25569,36097,Latino Revolution,2012
25570,36097,Les liquid temps,2015
25571,36099,Dirtypunkmutha,1996
25572,36101,Stench of Humanity,2010
25573,36102,Raise the Curtain,2015
25574,36103,Protesto,2015
25575,36104,Theories Written Black,2010
25576,36104,Scum of the Earth,2013
25577,36108,Enemy Mine,2007
25578,36109,This Cemetery| My Kingdom,2014
25579,36109,Everything Is Dead,2016
25580,36110,Coffin Feeder I,2014
25581,36111,Pillars of Lies,2013
25582,36114,The Struggle,2007
25583,36118,Where the Ashes Lie,2007
25584,36118,Life at Gunpoint,2011
25585,36119,Hit for Six,1999
25586,36119,Pistols at Dawn,2002
25587,36124,Punish the Mind,2009
25588,36124,Dirt Awareness,2012
25589,36125,Fragments of Society,2006
25590,36127,Cosmosis,2012
25591,36130,Home on the Range,2005
25592,36131,Zweiflers Wut,1998
25593,36132,Rebuild: The Unfinished Interpretation of Irrational Behavior,2003
25594,36132,Lipan's Kinetic,2009
25595,36134,Craving,2012
25596,36134,At Dawn,2013
25597,36134,By the Storm,2016
25598,36137,My Heart Is a Merciless Piece of Metal and Fire,2000
25599,36138,Nocturnal Existance,2005
25600,36139,Мистецтво війни,2012
25601,36139,Кам'яні береги,2016
25602,36140,Rudis et Indigesta Moles,2007
25603,36143,Shadow from the Grave,2010
25604,36144,Blasphemy Made Flesh,1994
25605,36144,None So Vile,1996
25606,36144,Whisper Supremacy,1998
25607,36144,And Then You'll Beg,2000
25608,36144,Once Was Not,2005
25609,36144,The Unspoken King,2008
25610,36144,Cryptopsy,2012
25611,36146,A Life in Fear,2015
25612,36147,Dawn's Death to Dusk,2011
25613,36151,La route du chaos,2013
25614,36154,Non Serviam,2009
25615,36154,Humanity: The Legacy of Violence and Evil,2011
25616,36156,Know Your Enemy,2002
25617,36156,By Blood Undone,2005
25618,36160,And Then...,2006
25619,36161,Dead Against,2013
25620,36165,Into the Breach,2006
25621,36166,Unveil,2008
25622,36166,Loka,2011
25623,36166,Crystalline,2012
25624,36167,Global Lobotomy,1992
25625,36167,Sounds like Time Tastes,1993
25626,36167,Speeding Through Life,1998
25627,36167,Dead Orchestra,2000
25628,36168,Inhale,2000
25629,36170,The Ultimate Act of Retaliation,2011
25630,36172,Death Whistle,2016
25631,36173,Death Worm,2009
25632,36175,Out of Adversity,2011
25633,36175,The Abominable,2014
25634,36176,Desmembration,1992
25635,36177,...in the Dusk,2005
25636,36177,In Creeps Clothing,2014
25637,36180,Be Pure Be Vigilant Behave,2004
25638,36186,Demas,2004
25639,36188,Disease​:​mankind,2013
25640,36189,Behind the Line of Past,2010
25641,36189,Anubis Gates,2014
25642,36192,Night Sky Transform,2012
25643,36192,Ravenous Solemnity,2014
25644,36193,Deranged,1996
25645,36195,Monarch,2015
25646,36200,The Dark Passenger,2010
25647,36200,Of Scars and Existence,2013
25648,36201,Transhuman,2008
25649,36201,Collapse,2012
25650,36208,The Black Order,2012
25651,36210,DirtyBrownEye I,2000
25652,36210,DirtyBrownEye II,2004
25653,36214,Grey Misery,1992
25654,36214,Superhuman Dome,1996
25655,36214,If You're Looking for Trouble,1998
25656,36214,Turku,2001
25657,36214,Born Tired,2004
25658,36214,Hammer & Nails,2010
25659,36214,Vol. 2,2011
25660,36215,Engage the Mechanicality,2010
25661,36216,Ctrl,2006
25662,36216,Delete,2011
25663,36217,Sagul,2011
25664,36217,Emancipation,2015
25665,36218,Make Your Mind Up,2000
25666,36218,El tristeza,2002
25667,36218,Neptuno,2007
25668,36219,Morph,2013
25669,36225,Memorial,2006
25670,36225,Voices from Within,2008
25671,36229,Feast,2010
25672,36229,The Howling Man,2011
25673,36230,Intra,2015
25674,36231,USA​!​DS,2012
25675,36232,Interface,1996
25676,36232,Blackout,1997
25677,36234,Grind Opening,2008
25678,36240,Stories of the Beautiful and Violent,2007
25679,36240,DreamScar,2009
25680,36240,What Will Become of Us,2012
25681,36244,Dumpyourload,2008
25682,36248,Only the Determined Path Remains,1999
25683,36249,Quando Estou Fraco Então Sou Forte,2012
25684,36249,O Reino,2015
25685,36250,In the Shadows of Deception,2007
25686,36250,Ashes to Existence,2012
25687,36251,Mirušās kaijas,1995
25688,36251,Palodze,1998
25689,36251,Lai arī tu būtu ar mani,2001
25690,36251,Ļauj man tevi...,2003
25691,36251,Manās mājās sieviešu nav,2004
25692,36251,Kur vakara zvaigzne lec,2005
25693,36251,Kad pūcei aste ziedēs,2006
25694,36251,Sārtā rītausma,2007
25695,36251,Uijā| uijā| nikni vilki,2008
25696,36251,Dzelzs Vilka teātris,2009
25697,36251,Dzīvnieks pilsētā,2011
25698,36251,Kālabad,2013
25699,36251,Perfekta rītdiena,2015
25700,36252,Futility,2004
25701,36252,The Hinderers,2007
25702,36252,The Concealers,2009
25703,36252,Dååth,2010
25704,36253,Musclecore,2006
25705,36253,MuzEAK,2011
25706,36254,Step in the Fucking Ring,2013
25707,36254,Card Subject to Carnage,2014
25708,36255,Fleischlego,2002
25709,36255,After Show Party,2003
25710,36255,Callboys from Hell,2008
25711,36256,Winding the Optics,2011
25712,36259,Nitra,2016
25713,36260,Morderczy amok,2002
25714,36261,Hombres rata,2016
25715,36262,Fear in a Handful of Dust,2011
25716,36263,Embodiment,2015
25717,36267,En Masse,2012
25718,36267,Ultimum Tyrannum,2014
25719,36269,Sabertooth,2009
25720,36272,Walk Down This Highway,2007
25721,36273,Shadows,2007
25722,36273,Caedium,2010
25723,36275,Sunrise,2000
25724,36275,End of Days,2007
25725,36277,Sublime and Vain,2016
25726,36279,Neugeburt,2012
25727,36281,Dissanity,2011
25728,36281,Lacerate the Global Hate,2013
25729,36283,Annihilation of Humanity,2012
25730,36286,Do You Remember God?,2013
25731,36289,Death Is Not the End,2015
25732,36290,[In the Meantime...],2011
25733,36291,Same Jerks| Different Shirts,2005
25734,36291,Knowledgeable Ignorance,2007
25735,36294,Shrapnel,2001
25736,36294,In Sickness We Live,2006
25737,36295,Dansa de sang,2016
25738,36296,Agiten,1998
25739,36297,Another Day ... Another Story,1997
25740,36298,Время уходит во тьму,2012
25741,36298,Life Dungeons,2015
25742,36299,Fear the Setting Sun,2010
25743,36299,Of Slumber Woods Once Spoke,2012
25744,36303,Mean,1990
25745,36306,Dark Humanity,2008
25746,36310,No Jesus No Sprite,2012
25747,36311,From the Ashes,2008
25748,36315,Brimstone,2013
25749,36316,The Essential,2005
25750,36317,The Nameless Forever... the Last Remembrance,1994
25751,36317,Thots,1996
25752,36317,Senyaan,1998
25753,36317,KaBaAch,2000
25754,36317,Kro Ni Ka,2006
25755,36317,La Grande Bouffe,2012
25756,36318,The Inevitable,2008
25757,36322,Feel the Sweat,2013
25758,36322,Return of the Sweat,2013
25759,36322,Sweat Sells... but Who's Buying?,2013
25760,36322,Bonded by Sweat,2013
25761,36322,A Very Sweaty Christmas,2013
25762,36323,Apotheosynthesis,2015
25763,36324,Choked by Misery,2011
25764,36325,Monolith,2007
25765,36327,Midnight Murder Mania,2003
25766,36327,Bringing Back the Bloodshed,2006
25767,36328,Exhibit A,2006
25768,36332,Catchy as Aids,2006
25769,36333,Blood on Rust,2007
25770,36334,Invasion from the Death Dimension,2006
25771,36334,And Then You Fucking Die Man,2010
25772,36336,The Butterfly,1995
25773,36338,Bottomfeeder,2014
25774,36344,Escapism,2015
25775,36347,Deviance,2013
25776,36349,We Came for the Dead!!!,2002
25777,36349,Maniaxe,2003
25778,36349,Splatterthrash,2006
25779,36349,Transmission Zero,2011
25780,36349,Dungeon Bastards,2016
25781,36350,Mongrel's Light,2016
25782,36351,Tooth and Nail,2002
25783,36351,6 Fingered Jesus,2003
25784,36351,The Armour of Self Contempt,2009
25785,36352,Terreurs Nocturnes,2011
25786,36353,Am Ende steht der Sieg,2009
25787,36353,Wir folgen...,2011
25788,36355,Painful Massacre,1992
25789,36355,From Wrath to Pain,2001
25790,36357,Doomed If You Do| Doomed If You Don't,2007
25791,36357,The Feature,2010
25792,36357,Rippin' and Tearin',2015
25793,36358,From the Moldavian Ecclesiastic Throne,1997
25794,36358,Sublime,1998
25795,36358,Aura,2002
25796,36359,Death for Sale,2013
25797,36360,Again We Bleed,2007
25798,36361,Last Breath of Beauty,1999
25799,36362,From the End of Heaven,2015
25800,36363,A Divinis,2014
25801,36363,Finis Ixion,2016
25802,36364,Doorway to Hell,2005
25803,36367,Sigullum Naturae,1998
25804,36368,Secret Garden,2014
25805,36370,Shriek of the Mutilated,2005
25806,36372,Stronger Than Love,1994
25807,36374,Twothousandtwelve,2013
25808,36375,Guided Cradle,2005
25809,36375,You Will Not Survive,2007
25810,36376,When Reason Disperses the Darkness of Pride,2007
25811,36376,Shades of Sanity,2013
25812,36380,Galerna,2008
25813,36380,The Abyss,2012
25814,36381,Cursed,2011
25815,36382,Haapoja,2013
25816,36386,Legacy,2013
25817,36387,A Brief Repose Amidst the Screams of Torture,2007
25818,36387,To Sever Ties with All of Mankind,2012
25819,36387,Après la vie| les fleurs fleurissent à nouveau,2012
25820,36387,Elemental,2013
25821,36390,Humans Hate Us,2002
25822,36390,No Need for Crying,2003
25823,36392,Eyes of a Broken Mind,2013
25824,36393,Hatewave,2000
25825,36396,Deconstruct,2009
25826,36396,Human Overdose,2013
25827,36397,Sanctimonious Pestilence,2004
25828,36398,Spill the Blood of the Innocent,2004
25829,36398,Resurrection,2009
25830,36401,What We Left,2015
25831,36404,Downwards,2007
25832,36405,The Vile Exalted,2006
25833,36406,The Montana Complex,2008
25834,36409,Ground Breaking Ceremony,1999
25835,36409,Courting Tragedy and Disaster,2003
25836,36409,Hail Horror,2006
25837,36409,Summon in Thunder,2007
25838,36410,Hiram,2008
25839,36411,Hobos,2013
25840,36413,Horde of Worms,1997
25841,36413,Dreams and Dying Eyes,1999
25842,36413,The Uncreation,2003
25843,36414,De Veritate,2011
25844,36416,Knights in White Phosphorus,2011
25845,36416,Magnificent Death,2015
25846,36419,Windows Above Other Worlds,2008
25847,36420,Abandon the Eternity,2014
25848,36424,Gnosis: Never Follow the Light,2015
25849,36426,Irritant,2010
25850,36426,Hot Brains Terror,2011
25851,36427,Imperivm,2007
25852,36430,The Maggots Are Hungry,2009
25853,36430,Tutti il colori del buio,2010
25854,36430,Intoxicantations,2012
25855,36430,The Felon's Claw,2015
25856,36433,Bitter and Betrayed,2013
25857,36436,Leidensweg,2006
25858,36437,Embrace the Horror,2008
25859,36437,Hands of Guilt / Eyes of Greed,2011
25860,36438,Stainless Perfect Murder,2008
25861,36440,Screaming in Agony,2004
25862,36443,The Malignity Born from Despair,2006
25863,36445,The Fold,2014
25864,36453,Sinerside,2009
25865,36455,Dulce y cariñoso,1993
25866,36455,17 susurros en tus oídos Vol. 2,1996
25867,36459,Inure,2004
25868,36463,Die Verwandlung,1997
25869,36463,Curbed,2000
25870,36463,Cunt Hackers,2001
25871,36463,Menses Exorcism,2003
25872,36463,Shibari Kata and Other Practices,2005
25873,36463,Vaseline,2011
25874,36463,Whorecraft,2013
25875,36464,Lifeless Design,2006
25876,36465,Eibeic az Ermu,2007
25877,36465,Existentia,2009
25878,36465,3cie,2010
25879,36465,Witaj w takim świecie,2011
25880,36468,Sail to the Void,2010
25881,36468,First Noises at Final Evening,2012
25882,36470,Julgamento,2008
25883,36470,Flagelo Fatalista,2009
25884,36472,Judgement Day,2000
25885,36474,Kabul,2004
25886,36475,Exploitation Nekronation,2012
25887,36475,Nekrokore Is Love,2015
25888,36477,Rainbowride,2003
25889,36477,Blood| Rock n' Roll & Black Angels,2005
25890,36478,Violencia gorrina,1994
25891,36478,Garrulismo,1996
25892,36479,From the Depths,2012
25893,36479,Samsara,2016
25894,36482,Sangre de guerrero,2012
25895,36483,All Quiet| All Dead,2015
25896,36485,Any Fear Calms Down,2011
25897,36485,Supersymmetry,2015
25898,36486,II: the Crucible,2010
25899,36487,When Humanity Is Overrated,2010
25900,36489,Transcendual Consciousness,1995
25901,36489,Into the Ancient Moon,1998
25902,36491,The Art of Selfdestruction,2004
25903,36491,From the Abyss,2012
25904,36497,Survival of the Fittest,2012
25905,36497,Counter//Current,2016
25906,36498,Sounds of Death,2011
25907,36498,Bad Moon,2014
25908,36500,Built for Speed,2002
25909,36500,Cattle Truck,2004
25910,36500,Redemption Through Looseness,2007
25911,36500,For Death| Glory and the End of the World,2010
25912,36500,Adam and Steve,2014
25913,36501,Pandemist,2015
25914,36505,Pink and Black (Like the Inside of a Dog's Mouth),2006
25915,36505,Rumpelforeskin,2009
25916,36505,SHAT,2013
25917,36510,Hanging Headless Angels,2016
25918,36511,Scarred Existance,2010
25919,36515,Illegal Love,2004
25920,36515,Forlorn,2009
25921,36515,Disguise,2012
25922,36517,Death of a Gentleman,2007
25923,36518,As Tequilas de Xereco,2016
25924,36519,Abomination,2011
25925,36521,Acorralados,2003
25926,36521,Destrozando cerebros,2010
25927,36523,[Firelung],2008
25928,36523,Swarm of All the Unholy,2009
25929,36523,Traverser,2013
25930,36524,On Evil Days,2009
25931,36524,The Fifth Time I Died,2011
25932,36524,By Nature So Perverse,2016
25933,36525,Lithotome,2013
25934,36526,Living Sacrifice,1991
25935,36526,Nonexistent,1992
25936,36526,Inhabit,1994
25937,36526,Reborn,1997
25938,36526,The Hammering Process,2000
25939,36526,Conceived in Fire,2002
25940,36526,The Infinite Order,2010
25941,36526,Ghost Thief,2013
25942,36527,Norwegian Trash,2013
25943,36529,When the End Comes,2008
25944,36529,The Time to Do Better,2012
25945,36533,Nemeth,2011
25946,36533,Galaico's Sign,2012
25947,36535,Prisoners of the Damned,1997
25948,36535,The Number of the Beers,2003
25949,36535,Put Olindrali Avlijanera,2006
25950,36535,Sekta alkohol,2012
25951,36536,Gloom,1989
25952,36536,Sinister Slaughter,1993
25953,36536,Dahmer,2000
25954,36536,Murder Metal,2003
25955,36536,Grim Scary Tales,2011
25956,36538,The Infinity Complex,2006
25957,36538,Masked,2007
25958,36543,Synoré,2007
25959,36543,Insua EnVenom,2012
25960,36544,Almost like Something Completely Sinister,1998
25961,36544,Relentless Entropy,2014
25962,36546,Your Punishment Begins,2008
25963,36548,A Nine Days' Penance,2016
25964,36554,Covert Eradicators,2011
25965,36555,Older Than History,2011
25966,36558,Czy jest tu piekło?,2010
25967,36559,Matellica,2006
25968,36563,Misanthropy,2000
25969,36564,After the Last Day,2011
25970,36565,As Jerusalem Burns... Al'Intisar,1996
25971,36565,Djinn,2001
25972,36565,Sphynx,2003
25973,36565,Emissaries,2006
25974,36565,The Epigenesis,2010
25975,36565,Enki,2015
25976,36569,Inauguration of the Black Sun,2011
25977,36569,Kamikakushi~神隠し,2013
25978,36570,Manifest Destiny,2013
25979,36571,Blizzard of Saws,2010
25980,36574,Reborn,2001
25981,36574,Out of Hand,2003
25982,36577,Memories Bring Pain,2010
25983,36577,Reborn,2012
25984,36578,Of Wind and Weeping,2003
25985,36578,Carriers of Dust,2006
25986,36578,Gangrene,2008
25987,36582,Humanity's Regression,2003
25988,36582,I Quit!,2006
25989,36583,Born to Die,2009
25990,36584,Moretools,2011
25991,36585,VIRFYX,2013
25992,36589,The Dirty Arts,2012
25993,36591,Sicko Baby,1997
25994,36591,Horny like Hell,1999
25995,36591,Soul Reaver,2002
25996,36591,Bloodstained Blues,2006
25997,36591,Monsters of Carnage,2010
25998,36593,Some Things Are Better Left Unsaid,2006
25999,36595,Reasoning Insanity,2009
26000,36597,One Last Look at Life,2013
26001,36598,Temple of the Scorn,2008
26002,36599,The Conveyor Belt,2012
26003,36600,Eternal Recurrence of Carnage,2012
26004,36601,Indecent Disposal,2009
26005,36602,Napalm Christ,2014
26006,36603,Fusion of Styles,2005
26007,36612,The Fifth Season,2000
26008,36612,The Dead Guy Palace,2002
26009,36612,Enemy,2003
26010,36613,The Sewer Session,2012
26011,36613,Devil's Breath,2013
26012,36614,Nekrotikill Dominion,2007
26013,36616,Neanderthals Were Master Butchers,2007
26014,36616,Ebu Gogo Gutting the Child,2011
26015,36616,Australopithecus,2012
26016,36617,Bloodridden Love,2011
26017,36618,Nesseria,2009
26018,36618,Fractures,2014
26019,36621,Graveyard Cowboys,2003
26020,36621,Satan Is a Cunt,2005
26021,36621,Bubba Luciferi,2006
26022,36621,Satan Owns Your Stereo,2008
26023,36621,Neuropathia,2009
26024,36622,Murder Book,2009
26025,36623,Harvest Your Wrath,2004
26026,36624,Forsaken Memories,2009
26027,36624,Demenphobia,2011
26028,36624,Rebirth,2015
26029,36625,Obsessed,2010
26030,36625,Rev 6:8,2014
26031,36626,Scream from the East,2012
26032,36628,Verso il nulla creatore,2012
26033,36629,Submission,2013
26034,36630,Listen,1997
26035,36630,Kissed by the Misanthrope,1998
26036,36630,Lights Out,2001
26037,36630,Killing Angels,2003
26038,36630,It's Your Funeral,2007
26039,36634,Agony Defined,2013
26040,36634,Blossoming Decay,2015
26041,36635,Beauty Is in the Eye of the Beholder,2003
26042,36635,Bruises That Won't Heal... the Art of Vocabulary Warfare,2006
26043,36638,Colateral,2012
26044,36639,Inferno,2016
26045,36641,Attack of the Salami - Smokers from Venus,1998
26046,36642,Instinctual,2011
26047,36643,Head Held High,2004
26048,36643,More Than You Expect,2007
26049,36647,Life Is a Struggle| Give Up,2015
26050,36648,Mighty Cosmic Dances,2005
26051,36648,Communitas (Deconstructing the Order),2009
26052,36649,Lab #01,2009
26053,36649,Extinction,2015
26054,36656,Fuck It All,1999
26055,36656,Lacerate the Betrayer,2003
26056,36656,Total Laceration 総合的鬼刻み,2009
26057,36658,Voices: The Tales of Broken Men,2010
26058,36658,Words,2013
26059,36659,El rosari d'aurora,2008
26060,36671,Postmortem,2013
26061,36672,Earth Control,2011
26062,36673,Owl,2011
26063,36673,You Are the Moon| I Am the Night,2013
26064,36678,Metal Future,2014
26065,36678,Swansong,2016
26066,36680,Your Blood| My Life,1996
26067,36680,Focused I Become,1998
26068,36681,Pay for Pleasure,2016
26069,36684,Breed Hate : Steer Fate,2004
26070,36684,The Eightbound Five,2007
26071,36686,The Desert,2005
26072,36688,The Importance of Living,2013
26073,36688,Abstract Melodies,2013
26074,36688,Perverse Imagery,2013
26075,36689,鋼鉄の誓い,2015
26076,36690,Immense Intense Suspense,1994
26077,36690,Skycontact,1997
26078,36691,Hagase la oscuridad,2011
26079,36693,Release,2007
26080,36696,Plaguesayer,2007
26081,36697,Life Dimension of Death,1995
26082,36698,Each Birth a New Disaster,2008
26083,36699,The Avalanche,1992
26084,36699,The Society's Open Hurts,1993
26085,36699,Long Live Grindcore,1994
26086,36702,Homo Sapiens: Detractor por profesión,1998
26087,36702,Amazonas,2004
26088,36702,Planeta 3,2007
26089,36703,The Power of Expression,1994
26090,36703,X-Territorial,1995
26091,36704,The Story Remains the Same,2006
26092,36704,Fear| Forgotten and Regret,2010
26093,36705,The Plague of Ignorance,2009
26094,36705,Suicide Civilization,2013
26095,36706,The Breach of Atlas,2013
26096,36708,Night Stalker,1998
26097,36708,Prophecies of a False God,2002
26098,36709,Prognathe,2012
26099,36709,Revelation Flesh,2014
26100,36710,In the Beginning,2002
26101,36710,Evolve,2007
26102,36710,Mortis Metallum,2013
26103,36711,Consciousless,2007
26104,36711,Go for Progress,2010
26105,36712,Divine Sanctuary,2015
26106,36713,Fortune's Complexity (in Five Cycles of Torments),2006
26107,36715,Pyroclastic,2013
26108,36719,Potrifagia,2006
26109,36719,A Morte ê Apenas o Começo,2011
26110,36723,AlieNation,2015
26111,36724,Reflections of a Psychotic Past,2012
26112,36725,Embrace the Final Day,2007
26113,36725,In the Face of Suffering,2010
26114,36726,Where the Sacred Ends,2012
26115,36727,Netherself,2006
26116,36727,And the Other That Was a Machine...,2011
26117,36729,Bleed for What It Is Worth,2002
26118,36730,Downwards,2013
26119,36731,Terapia de choque,2003
26120,36731,Acidethc,2010
26121,36731,Moleculeccosedelia,2014
26122,36733,Moshpit,2009
26123,36733,Rawzilla,2012
26124,36733,Battalion of Demons,2016
26125,36734,La nueva alarma,2004
26126,36736,The Marred Recovery Process,2013
26127,36738,Therefor We Are,2005
26128,36738,The World's Destructive Rulers,2007
26129,36738,To All Hated,2009
26130,36738,Neckbreak Hotel,2014
26131,36746,En guerre pour un nouveau millénaire,2003
26132,36747,Dimersity 01:Meus Vitualamen Exertus Muto Vestri Universitas,2012
26133,36747,Dimersity 02 : Votum Servo Orbis Terrarum,2013
26134,36751,Welcome to Reality,2006
26135,36751,All One Struggle,2008
26136,36754,Submission or Faith,2007
26137,36755,La voz del silencio,2006
26138,36758,Rise Against,2007
26139,36759,Pitch Black,2015
26140,36761,We Are the State,2008
26141,36762,Серая кровь,2014
26142,36768,Zer01,2010
26143,36768,Awakenings,2013
26144,36770,Powercraft,2006
26145,36770,Seers Memoir,2014
26146,36770,Revenge,2016
26147,36777,Self-Proclaimed Existence,2005
26148,36777,Anhedonia,2011
26149,36777,Beyond the Limits,2012
26150,36778,On the Horizon,2008
26151,36779,Ectopia,2008
26152,36780,Rotten Flowers,2004
26153,36780,Ebony,2007
26154,36781,Sarcoma,2008
26155,36783,Æthereum,2015
26156,36783,Night,2015
26157,36783,Philosphemy (A Black Metal Tribute to Boris),2015
26158,36783,Into the Infernal,2016
26159,36783,Into the Infernal Part II,2016
26160,36783,!.Satanas Abstractas.!,2016
26161,36783,Candlelit Demonic Goatabyss,2016
26162,36783,Elemental,2016
26163,36783,Janus,2016
26164,36783,作成 - 古事記より抜粋,2016
26165,36783,Mellow Vibrations| Paranoid Reverberations,2016
26166,36783,The Sardonic Edda,2016
26167,36783,Skarbums (Bitterness),2016
26168,36783,The Nihilist's Dream,2016
26169,36783,The Philosopher's Stone,2016
26170,36783,Vøïd,2016
26171,36783,Odin's Orchestra,2016
26172,36783,Madrigals,2016
26173,36783,Gaze upon the Fields of Sorrow,2016
26174,36789,A Series of Unfortunate Concurrencies,2011
26175,36789,In Flood,2016
26176,36790,Fragile,2012
26177,36792,Travelling in Ancient Times,1996
26178,36792,Berzerk 2000,1998
26179,36792,Nemesis,1999
26180,36793,Puritanically Unreconstructed,2003
26181,36793,The Art of Dying,2005
26182,36794,When Your Bitch Is in Heat...,1999
26183,36799,Nine Novembers Fall,2008
26184,36799,The Silent Flood,2011
26185,36800,Gospels for the Sick,2005
26186,36801,The New Breed of Nothing,2006
26187,36802,Bestie Mensch,1998
26188,36802,Back in Bag,2013
26189,36803,Transcendence,2013
26190,36808,The Glorious Nihilism,2011
26191,36812,Plague Solstice Part 1,2005
26192,36812,Plague Solstice Part 2,2007
26193,36813,Eye of Malignance,2014
26194,36814,The First Frisson of the World,2011
26195,36814,The Highest of Dystopia,2015
